sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021,sbt1_2022,sbt1_2023
45.6507,21.8758,31.7657,33.3154,36.7887,14.5633,11.1646,19.6099,20.2332,24.0083,22.8493,38.235,25.2814,13.9832,10.8855,6.42372,9.08412,8.65334,11.1837,18.0286,21.5811,24.3617,31.9771,32.9527,36.5954,29.9787,27.1332,19.3498,34.0685,66.1223,67.8449,62.5338,46.1947,31.8936,33.0062,30.868,35.8775,51.6639,39.4438,30.0298,29.7094,42.1278,36.491,28.6667,19.8773,23.3209,33.5438,36.2236,32.262,28.7936,21.7064,20.5927,24.1768,18.5689,13.9266,8.02378,6.74503,6.53701,9.35948,10.1476,10.1463,9.87698,15.5269,16.666,20.8755,20.677,20.52,23.4327,34.327,28.8148,23.201,22.384,21.3875
45.5414,22.4297,33.4597,34.7032,37.7328,16.6587,14.3023,22.8057,24.3126,26.5773,25.6963,38.349,29.1826,22.2143,21.1697,8.27466,9.47825,10.139,13.1175,18.2645,21.2309,23.6421,30.6469,32.686,37.1059,30.6414,27.4627,19.2912,34.6373,67.6365,66.8898,59.2685,42.89,29.2087,28.9756,27.3629,32.9808,49.2925,37.9679,29.0162,29.3541,41.0718,35.1571,27.6073,19.107,21.9545,31.8453,35.2673,32.9366,30.5587,23.7822,23.2607,26.8092,19.9507,14.433,7.65075,5.88242,5.42455,7.81049,8.44476,8.83438,9.22679,15.3222,17.3546,23.4189,23.7694,23.0442,25.4614,37.171,29.3441,22.2818,19.6582,15.7841
41.3532,21.2819,28.8589,28.2722,32.884,14.51,12.5071,22.0508,22.4324,27.7635,31.4315,43.2205,26.6074,16.2519,12.8424,6.66346,8.22577,7.86618,10.4703,17.0701,19.809,22.6647,29.1936,30.1725,33.9792,27.2239,24.4662,17.0331,30.2813,58.8949,59.9651,54.8906,40.6418,28.771,30.8569,28.8159,32.8065,46.846,36.6515,28.1043,27.8306,41.0055,35.3582,27.2847,19.4304,21.8043,30.6422,33.1973,31.4641,29.0525,23.2096,22.9509,26.541,19.7779,15.0295,8.46872,6.60114,6.34486,9.00791,9.57876,9.55285,9.54378,15.1679,16.783,21.7992,21.9267,21.8477,24.9229,38.2717,31.014,23.7721,22.5401,21.8228
44.6484,23.5765,34.7202,31.3335,34.4166,14.2895,11.2291,19.5124,20.4947,23.0228,20.8992,41.8061,25.2452,14.3785,17.7571,5.44928,7.09131,7.32491,10.0318,17.035,21.5236,27.1923,36.2577,38.2226,42.8555,35.8385,32.3464,24.1448,41.0545,77.7417,75.7087,67.8188,48.2588,32.8603,34.4409,31.5097,33.8721,45.8887,33.8344,25.8012,25.8286,40.6448,37.0073,30.2076,22.1899,26.7392,39.8807,43.3233,37.909,31.445,21.9603,20.3057,24.1731,18.2861,13.915,8.17412,7.00448,6.41492,8.72613,9.86537,10.2643,9.93449,15.4128,16.0342,18.9817,18.2746,18.1142,20.8061,29.9655,27.0605,24.0292,23.7957,23.6403
53.3553,24.3767,35.6339,38.1267,37.7726,15.9129,10.7414,22.5543,28.8464,30.465,30.1027,47.6462,32.258,14.2171,14.3926,9.31404,13.021,11.4818,13.9515,20.7261,23.685,27.5828,34.7799,34.8869,37.5329,30.8901,27.6698,19.3753,34.9431,67.1524,69.7027,65.0104,47.7696,32.6273,33.956,31.4251,35.153,49.9897,37.7328,27.7508,26.3859,38.06,34.2984,27.3913,18.6956,23.7447,36.6926,40.1243,36.1086,32.6759,24.9437,23.7112,26.9773,20.0475,14.2319,8.40349,7.30693,7.03202,10.4829,11.4469,11.5235,11.4703,17.9734,19.1708,23.4513,23.1897,22.1018,23.2748,29.4304,21.9944,15.6575,12.8084,10.0769
54.4864,27.4132,36.3324,36.3216,37.5723,15.6301,11.3534,19.4883,20.8733,25.3027,25.1076,40.0681,24.6155,12.6396,10.2554,6.3777,9.17851,8.79004,11.5202,19.0616,22.7211,26.7867,33.6827,32.6565,34.65,27.531,24.4717,18.4214,34.9821,73.2484,79.5738,77.841,60.6973,44.3804,48.2426,44.334,48.9293,66.2533,47.3712,34.231,32.7462,42.8195,35.7468,27.7743,18.9904,22.7593,33.0562,34.2144,30.3837,26.9537,20.5667,20.3537,25.6756,19.5596,14.0809,7.9238,6.23323,5.77402,8.21609,9.46766,9.87988,9.68387,14.7554,16.5029,20.8714,20.9753,21.2442,23.937,35.3471,29.3306,23.6263,22.0531,19.2993
54.037,27.5776,35.0179,36.4591,38.2562,14.2876,11.3459,20.9147,18.6135,22.9398,25.5253,43.5339,29.1602,11.6416,9.77248,7.83081,14.4428,12.6601,14.8973,21.985,24.489,27.079,32.9299,31.3955,32.8027,26.242,23.2207,15.8217,28.7723,57.8665,62.5649,62.3246,48.8411,36.2543,40.0464,38.3292,44.079,61.3596,46.3706,34.4214,34.0347,47.7213,39.8692,29.5391,19.8673,22.3206,30.9919,31.7578,27.0623,24.3397,17.8062,17.6916,21.3224,16.6773,12.9359,7.8097,6.83741,7.03471,10.4685,11.5175,10.8814,10.0454,15.6504,15.9188,18.5098,17.8356,17.3442,21.2357,35.8989,30.6818,25.8507,26.8427,25.2962
47.7736,20.8693,29.7848,32.3907,39.654,13.7539,10.3445,17.7887,17.153,20.0861,17.6091,30.932,19.5392,7.73457,3.64367,4.64575,4.54343,5.87979,8.6931,15.6188,18.6863,21.8619,30.683,31.5546,35.3062,30.1511,28.5698,21.2035,36.4282,70.6681,68.5204,60.677,43.8911,29.6468,30.6439,29.5585,35.9548,52.9823,40.8575,32.5879,32.7298,45.954,39.2342,30.4154,20.7795,23.1091,31.8342,33.7152,29.2995,25.9389,19.52,18.0403,21.431,17.6454,14.2345,7.9954,6.63663,6.53293,9.38738,10.2079,10.2549,10.3829,18.3066,20.5414,25.6503,24.95,24.1898,26.5239,38.3609,29.7903,21.4225,15.7915,11.9521
52.8025,26.7748,34.2604,35.3504,37.733,17.1935,13.7466,20.6299,23.0327,24.742,22.6266,39.7507,23.2995,14.8847,11.5052,5.81705,9.21853,9.59186,12.581,21.1475,24.7508,28.0456,35.5721,33.9704,34.7311,26.434,21.0539,12.1311,22.5073,46.8511,50.0799,47.0352,36.1613,25.537,27.5236,26.2874,32.1514,48.6725,38.077,29.4927,29.8426,40.0089,35.135,28.8475,20.3387,23.4839,31.9132,34.7883,30.3639,26.758,19.7742,19.1334,22.2094,16.6044,12.4722,6.96226,5.73995,5.54304,7.83389,9.16954,9.88353,9.76098,15.2399,17.4987,23.2941,23.1537,23.2857,26.7128,39.8012,36.3946,31.9247,33.9399,35.656
38.9709,16.0613,28.5644,31.0394,36.5552,15.1678,9.30439,19.6591,25.2879,29.3199,30.5529,45.0136,34.1677,21.3652,18.2917,6.95695,8.34968,6.82699,9.34513,15.8852,19.6133,20.5564,28.0475,28.8811,31.4955,26.3532,24.4275,15.7457,27.5675,55.2499,61.6416,61.0345,48.2189,36.2238,39.3627,38.0173,42.6041,57.5794,42.7947,32.0372,30.9857,42.3323,35.9056,27.227,18.6491,21.4263,30.6895,33.0583,29.7714,27.4468,20.6307,19.1318,22.8502,19.6494,17.0839,10.5803,8.7806,7.79614,9.85933,9.92404,9.20008,8.58169,13.0136,13.2419,16.0638,16.7018,17.6866,21.3608,34.6894,30.9166,25.169,26.1899,24.5319
